,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1192,Dumbbell suitcase carry,"The dumbbell suitcase carry is similar to a dumbbell farmer's carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.",Strength,Forearms,Dumbbell,Intermediate,0,
1196,Dumbbell farmer's walk,"The dumbbell farmer's walk is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.",Strongman,Forearms,Other,Intermediate,9.4,Average
1204,Cable Wrist Curl,,Strength,Forearms,Cable,Beginner,7.8,Average
1206,Wrist Circles,,Stretching,Forearms,Body Only,Beginner,2.5,Average
1207,Kneeling Forearm Stretch,,Stretching,Forearms,None,Beginner,5.2,Average
1214,Barbell glute bridge,"The barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings. It can be done as a strength movement on its own, as an activation drill or warm-up for lower-body training, or as a burnout at the end of a lower-body workout.",Powerlifting,Glutes,Barbell,Intermediate,9.4,Average
1215,Barbell Hip Thrust,"The barbell hip thrust is an exercise that engages the posterior chain, particular the glutes. It involves fully extending your hips while holding a weighted barbell across the midsection.",Powerlifting,Glutes,Barbell,Intermediate,9.1,Average
1216,Kneeling Squat,,Powerlifting,Glutes,Barbell,Beginner,8.6,Average
1217,Kneeling Jump Squat,,Olympic Weightlifting,Glutes,Barbell,Beginner,7.6,Average
1226,Suspended Hip Thrust,,Strength,Glutes,Other,Beginner,0,
1227,Single-leg cable hip extension,"The single-leg cable hip extension is an isolation exercise that targets the glutes, specifically the gluteus maximus. It is a common burnout movement on a lower-body focused day and is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Glutes,Cable,Intermediate,9,Average
1232,Glute bridge,"The glute bridge is a popular lower-body bodyweight exercise that primarily targets the glutes, but also activates the lower back and hamstrings. It can be performed with body weight alone, or with added resistance such as barbells, dumbbells, or bands. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime.",Strength,Glutes,Body Only,Intermediate,8.8,Average
1233,Single-leg glute bridge,"The single-leg glute bridge is a lower-body exercise that targets the glutes, lower back, and hamstrings. It is performed one side at a time.",Strength,Glutes,Body Only,Intermediate,8.8,Average
1234,Step-up with knee raise,"The step-up with knee raise is a lower-body exercise targeting the quads, glutes, and hamstrings. It differs from a traditional step-up in that at the top, you lift the trailing leg up to full hip flexion. This gives the exercise a greater range of motion and more of a focus on powerful hip extension in the working leg. When performed with body weight, these are usually performed for high reps as part of a dynamic warm-up, as cardio acceleration, or as part of the lower-body portion of a workout or circuit.",Strength,Glutes,Body Only,Intermediate,8.7,Average
1235,Glute Kickback,,Strength,Glutes,Body Only,Beginner,8.3,Average
1236,Standing hip extension,The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.,Strength,Glutes,Body Only,Beginner,6.5,Average
1237,Lying glute stretch,"The lying glute stretch is a stretch to help increase flexibility in the glutes and hips. It involves rotating a single leg over the body while lying flat on the back, and reaching around the leg to facilitate a stretch. It is commonly included in dynamic warm-ups or cool-downs, but can also be performed as full-body mobility work anytime.",Stretching,Glutes,Body Only,Intermediate,4.8,Average
1239,Seated Glute,,Stretching,Glutes,Body Only,Beginner,3.1,Average
1241,One Knee To Chest,,Stretching,Glutes,Body Only,Intermediate,2.7,Average
1287,Exercise ball hip thrust,"The exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings. Proper form is essential to really feel the burn in the glutes, and the ball can help guide you into the right form better than a bench, which is the usual support for hip thrusts. Unlike the bench version, the ball hip thrust is best performed with body weight or bands as resistance for safety reasons. It can be an excellent component of a warm-up for lower-body training, or a glute activation drill performed anytime.",Strength,Glutes,Exercise Ball,Intermediate,7.8,Average
1288,Downward Facing Balance,,Strength,Glutes,Exercise Ball,Beginner,4,Average
1290,Standing Hamstring and Calf Stretch,,Stretching,Hamstrings,Bands,Intermediate,6.7,Average
1292,Barbell Deadlift,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.",Strength,Hamstrings,Barbell,Intermediate,9.4,Average
1294,Sumo deadlift,"The sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs. It is allowed to be performed instead of conventional deadlifts in most powerlifting competitions. The sumo deadlift targets the hamstrings, glutes, and upper back/traps, but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance.",Powerlifting,Hamstrings,Barbell,Beginner,9.3,Average
1303,Good Morning,"The barbell good morning is an exercise that targets glute, hamstring, and lower back development. It is often trained as an accessory movement to the deadlift, but also has value on its own. It is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift.",Powerlifting,Hamstrings,Barbell,Intermediate,8.5,Average
1304,Barbell stiff-legged deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Hamstrings,Barbell,Intermediate,8.3,Average
1305,Romanian Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Hamstrings,Barbell,Intermediate,8.1,Average
1307,Sumo Deadlift with Bands,,Powerlifting,Hamstrings,Barbell,Beginner,0,Average
1309,Stiff-Legged Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Hamstrings,Barbell,Beginner,0,Average
1320,Single-leg kettlebell deadlift,"The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles.",Strength,Hamstrings,Kettlebells,Intermediate,8.2,Average
1327,Kettlebell Hang Clean,,Strength,Hamstrings,Kettlebells,Beginner,0,
1329,Romanian Deadlift With Dumbbells,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.",Strength,Hamstrings,Dumbbell,Beginner,9.4,Average
1330,Stiff-Legged Dumbbell Deadlift,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.",Strength,Hamstrings,Dumbbell,Intermediate,8.8,Average
1331,Vertical Swing,,Plyometrics,Hamstrings,Dumbbell,Beginner,7.5,Average
1335,Box jump,"The box jump is an explosive exercise that strengthens the muscles of the lower body, including the quads, glutes, calves, and hamstrings. They also develop power in the lower body while revving the heart rate. Box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. Most coaches recommend stepping down rather than jumping down between reps.",Plyometrics,Hamstrings,Other,Beginner,8.6,Average
1336,Box Jump (Multiple Response),"The box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. They also develop power in the lower-body while revving the heart rate.",Plyometrics,Hamstrings,Other,Intermediate,8.1,Average
1338,Lying Hamstring,,Stretching,Hamstrings,Other,Beginner,6.3,Average
1339,Chair Leg Extended Stretch,,Stretching,Hamstrings,Other,Beginner,2.4,Average
1340,Suspended Leg Curl,,Strength,Hamstrings,Other,Beginner,0,Average
1341,Box Skip,,Plyometrics,Hamstrings,Other,Beginner,0,Average
1343,Seated Hamstring and Calf Stretch,,Stretching,Hamstrings,Other,Beginner,0,
1349,Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Powerlifting,Hamstrings,Machine,Intermediate,8.4,Average
1351,Seated Leg Curl,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,Intermediate,7.9,Average
1352,Standing Leg Curl,,Strength,Hamstrings,Machine,Beginner,7.4,Average
1353,Smith machine stiff-legged deadlift,"The Smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. The Smith machine mimics a barbell but provides more stability. This movement can be programmed like a traditional stiff-legged or Romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Hamstrings,Machine,Beginner,7,Average
1367,Natural Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Strength,Hamstrings,Body Only,Beginner,9.1,Average
1370,Knee Tuck Jump,"The tuck jump is a vertical jump, an explosive lower-body exercise that is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the higher you'll be able to jump.",Plyometrics,Hamstrings,Body Only,Intermediate,8.1,Average
1375,90/90 Hamstring,,Stretching,Hamstrings,Body Only,Beginner,5,Average
1379,Knee To Chest,,Stretching,Hamstrings,Body Only,Beginner,0,
1380,Hurdle Hops,,Plyometrics,Hamstrings,Body Only,Intermediate,0,
1381,Hip Stretch With Twist,,Stretching,Hamstrings,Body Only,Beginner,0,
1383,Alternating Leg Swing,,Stretching,Hamstrings,Body Only,Beginner,0,
1402,Glute ham raise-,"The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD, or glute ham developer bench. The unassisted version of the movement requires serious hamstring strength, so it is more common to see versions that use a band or PVC pipe for assistance. It is commonly performed as an accessory movement for heavy barbell lifts. While a single rep may be a struggle at first, with time, strong athletes can build up to doing them for 8-12 reps per set.",Strength,Hamstrings,None,Beginner,9.1,Average
1403,Lying hamstring stretch with band,"The lying hamstring stretch with band is a simple way to stretch a chronically tight muscle group of the lower body. It is common in stretching and yoga classes but can also be performed individually as part of a warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy.",Stretching,Hamstrings,None,Beginner,5.9,Average
1405,Seated Hamstring,,Stretching,Hamstrings,None,Beginner,5.3,Average
1407,Runner's Stretch,,Stretching,Hamstrings,None,Intermediate,3.6,Average
1410,Band-assisted pull-up,"The band-assisted pull-up is a variation of the pull-up exercise in which the reps are performed with an elastic band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, and is often used as a way to help people boost their pull-up numbers or perform their first rep.",Strength,Lats,Bands,Intermediate,7.6,Average
1411,Assisted Chin-Up,"The reverse-grip chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand band-assisted pull-ups.",Strength,Lats,Bands,Beginner,0,Average
1455,Overhead Lat,,Stretching,Lats,Other,Beginner,1,Average
1469,Close-grip pull-down,"The close-grip pull-down is a variation on the lat pull-down that is performed with an overhand grip and the hands slightly closer than shoulder-width apart. This increases the range of motion beyond wider grips, and may increase the time under tension in each rep. This variation is usually performed for moderate to high reps as part of a back or upper-body workout.",Strength,Lats,Cable,Intermediate,8.9,Average
1470,Shotgun row,"The shotgun row is a single-arm row variation utilizing a cable stack in a staggered stance. It targets the muscles of the middle back, like the lats (latissimus dorsi) and rhomboids, but also the core. It is usually performed for moderate to high-reps, at least 8-15 reps per set, in the later stages of a back or upper-body workout.",Strength,Lats,Cable,Intermediate,8.9,Average
1471,Close-Grip Front Lat Pulldown,"The close-grip pull-down is a variation on the lat pull-down, acable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack.",Strength,Lats,Cable,Intermediate,8.8,Average
1472,Straight-arm rope pull-down,"The straight-arm rope pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine and a rope grip. It can either be performed in an athletic upright stance, or slightly bent over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, such as 8-15 reps or more.",Strength,Lats,Cable,Intermediate,8.7,Average
1473,Lat pull-down,"The lat pull-down is a cable-based exercise that's ubiquitous in gyms around the world. This back builder is easy to learn and highly effective at building back size and strength. It's usually trained in moderate to high reps, such as 8-12 reps per set. If grip strength is a limitation, you can wear wrist straps.",Strength,Lats,Cable,Intermediate,8.6,Average
1474,Straight-Arm Pulldown,"The straight-arm bar pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine. It can either be performed in an athletic upright stance, or slightly bent-over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, like 8-15 reps or above.",Strength,Lats,Cable,Intermediate,8.3,Average
1478,Kneeling lat pull-down,"The kneeling lat pull-down is a variation of the lat pull-down exercise performed with the knees on the ground rather than sitting on a bench or machine. It has all of the same benefits of a lat pull-down performed on a bench or machine, in addition to providing further activation to the core and lower body.",Strength,Lats,Cable,Intermediate,7.9,Average
1495,Machine seated row,"The machine seated row is a popular exercise targeting the back muscles, particularly the lats (latissimus dorsi), rhomboids, and middle and lower trapezius. There is a wide variety of seated row machines, but most of them approximate the motion of a free-weight row, but in an upright, forward-facing position. Machine row variations are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or back-focused portion of a workout.",Strength,Lats,Machine,Beginner,8.4,Average
1496,Machine-assisted pull-up,"The machine-assisted pull-up takes a classic back-building exercise and adds assistance to make the movement easier than the bodyweight version. The amount of assistance can easily be changed by moving the pin in the stack. While some people use this variation as a substitute for pull-ups or as an assistance exercise for pull-ups, it is also effective as a way to perform the pull-up motion in traditional muscle-building ranges. This variation is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or back-focused training.",Strength,Lats,Machine,Beginner,8.2,Average
1505,Pullups,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight.",Strength,Lats,Body Only,Intermediate,9.2,Average
1506,Pull-up,"The pull-up is a multijoint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of ""relative strength"" which is strength in relation to body weight.",Strength,Lats,Body Only,Beginner,8.9,Average
1507,Muscle Up,,Strength,Lats,Body Only,Intermediate,8.9,Average
1511,Neutral-grip pull-up,"The neutral-grip pull-up is a multijoint bodyweight exercise in which the reps are performed with the palms facing one another. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand.",Strength,Lats,Body Only,Intermediate,8.2,Average
1512,Kipping Muscle Up,,Strength,Lats,Body Only,Intermediate,7.2,Average
1513,One Arm Against Wall,,Stretching,Lats,Body Only,Intermediate,5.8,Average
1514,One Handed Hang,"The single-arm hang is a static exercise that involves hanging from a bar by one hand. It is an advanced hanging exercise that demands above-average shoulder stability and grip strength, and may not be appropriate for some people. However, if someone is strong and stable enough to perform it, the movement can help build those same qualities.",Stretching,Lats,Body Only,Intermediate,3.6,Average
1516,Burpee to pull-up,The burpee to pull-up is a variation of the bodyweight burpee in which the jump at the top of each rep leads into a jumping pull-up. It is popular in circuit-style and metcon workouts.,Plyometrics,Lats,Body Only,Intermediate,0,
1517,Negative pull-up,"The negative pull-up is a multijoint bodyweight exercise that focuses on just one half of the traditional pull-up: the lowering, eccentric, or ""negative"" portion. Because muscles are stronger eccentrically than they are concentrically, many people can perform negatives even if they can't perform full pull-ups. For this reason, it is a popular training tool to help people earn their first pull-up rep, or as a back-off exercise after doing full pull-ups.",Strength,Lats,Body Only,Intermediate,0,Average
1529,Catch and Overhead Throw,,Plyometrics,Lats,Medicine Ball,Beginner,5.8,Average
1531,Dynamic Back Stretch,,Stretching,Lats,None,Beginner,4.8,Average
1539,Deadlift with Bands,,Powerlifting,Lower Back,Barbell,Beginner,8.7,Average
1541,Rack Pull with Bands,,Powerlifting,Lower Back,Barbell,Beginner,8.5,Average
1542,Rack pull,"The rack pull is a variation of the deadlift performed from an elevated height, either using boxes, safety pins, or the safeties in a squat rack. It targets all the same muscles as the deadlift, including the glutes, hamstrings, upper back, lower back, and grip. It can be used to strengthen deadlift lockout, but also as a deadlift alternative for people who can't deadlift from the floor without pain.",Powerlifting,Lower Back,Barbell,Intermediate,8.3,Average
1543,Seated Good Mornings,,Powerlifting,Lower Back,Barbell,Beginner,8.1,Average
1544,Stiff Leg Barbell Good Morning,,Strength,Lower Back,Barbell,Beginner,8.1,Average
1545,Reverse Band Deadlift,,Powerlifting,Lower Back,Barbell,Beginner,0,Average
1592,Seated Back Extension,,Strength,Lower Back,Machine,Beginner,8.2,Average
1593,Back extension,"The back extension is an exercise used to build lower back strength that also targets the hamstrings and glutes. It is often performed on a 45-degree bench with the feet anchored. Unweighted back extensions are often performed for high reps, such as 15-20 reps or more, but the movement can also be performed with added weight in lower rep ranges, such as 8-12 reps per set.",Strength,Lower Back,Body Only,Intermediate,9.1,Average
1597,Child's pose,Child’s pose is a traditional yoga pose that is also popular in fitness and strength training. It targets mobility of the thoracic spine and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.,Stretching,Lower Back,Body Only,Intermediate,5.3,Average
1598,Pelvic Tilt Into Bridge,,Stretching,Lower Back,Body Only,Intermediate,5.1,Average
1599,Hug Knees To Chest,,Stretching,Lower Back,Body Only,Intermediate,4.4,Average
1600,Pyramid,,Stretching,Lower Back,Body Only,Intermediate,1,Average
1624,Dancer's Stretch,,Stretching,Lower Back,None,Beginner,5.4,Average
1625,Cat Stretch,,Stretching,Lower Back,None,Beginner,4.9,Average
1642,Pendlay Row,"The Pendlay row, named after the well-known strength coach Glenn Pendlay, is a bent-over row variation where each rep starts with the barbell resting on the ground. This eliminates the stretch reflex and forces the lifter to pull with power and a bent-over spine. The Pendlay row can be performed heavy for low reps, but is usually performed for moderate reps, such as 5-8 per set.",Strength,Middle Back,Barbell,Intermediate,8.2,Average
1644,Barbell seal row,"The barbell seal row is a weighted exercise targeting the muscles of the middle back, including the lats (latissimus dorsi) and rhomboids. It can be performed on a special elevated bench, on a bench placed on top of boxes or benches, or on a bench with a slight incline. The higher the bench, the greater the range of motion and stretch at the bottom of the movement. It is usually performed as an assistance movement for back strength and muscle growth, in rep ranges of 8-12 reps per set or higher.",Strength,Middle Back,Barbell,Intermediate,6.2,Average
1647,Barbell Deadlift Bent Row Complex,"The barbell deadlift bent-over row complex combines two movements to target the posterior chain. It requires using a lighter weight than you could handle for heavy deadlifts alone, but doubles down on activation in the upper back, lower back, and glutes.",Strength,Middle Back,Barbell,Beginner,0,
1648,Single-Arm Landmine Row,,Strength,Middle Back,Barbell,Beginner,0,Average
1669,One-Arm Dumbbell Row,"The single-arm bench dumbbell row is a popular exercise for building the latissimus dorsi, or lat, muscles of the back. The bench is used for support during the rowing motion.",Strength,Middle Back,Dumbbell,Intermediate,9,Average
1673,Dumbbell bent-over row,"The dumbbell bent-over row is a popular exercise to develop and strengthen the muscles of the upper and middle back, like the latissimus (lat), lower trapezius, and rear deltoids. It can work equally well in strength, muscle-building, or circuit-style fat-loss workouts.",Strength,Middle Back,Dumbbell,Intermediate,8.3,Average
1674,Middle Back Shrug,,Strength,Middle Back,Dumbbell,Beginner,8.3,Average
1695,T-Bar Row with Handle,,Strength,Middle Back,Other,Intermediate,9.5,Average
1696,T-Bar Row,,Strength,Middle Back,Other,Intermediate,8.9,Average
1698,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8,Average
1703,Inverted Row with Straps,,Strength,Middle Back,Other,Beginner,6.4,Average
1709,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8,Average
1729,Rower,"The rower is a popular gym machine that is serious cardiovascular work, but also targets the legs, back, and arm muscles. It's a great way build overall aerobic and muscular fitness. It is popular in CrossFit-style workouts, but is also a staple in all types of gyms. It can be equally effective for HIIT-style interval workouts or for longer-duration endurance work.",Cardio,Middle Back,Machine,Intermediate,8.9,Average
1730,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8,Average
1732,Leverage High Row,The machine high row is an exercise targeting the lats and works the back overall.,Strength,Middle Back,Machine,Beginner,7.9,Average
1749,Upright Row - With Bands,,Strength,Traps,Bands,Beginner,7.8,Average
1751,Barbell shrug,"The barbell shrug is an exercise targeting the traps (trapezius muscles). It is popular in strength and muscle-focused upper-body training, and is often trained on a shoulder day. With the assistance of straps, it can be loaded heavily, but it is still usually performed for moderate to high reps, such as 8-10 reps per set.",Strength,Traps,Barbell,Intermediate,8.4,Average
1752,Barbell behind-the-back shrug,"The barbell behind-the-back shrug is an exercise targeting the traps. Having the bar behind you helps keep your shoulders pulled up and back, rather than rounded forward. It is popular in strength and muscle-focused upper-body training, and is often trained on a shoulder day. With the assistance of straps, it can be loaded heavily, but it is still usually performed for moderate to high reps, such as 8-10 reps per set.",Strength,Traps,Barbell,Intermediate,8.3,Average
1757,Standing dumbbell shrug,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It's often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Strength,Traps,Dumbbell,Intermediate,8.7,Average
1762,Lying Face Down Plate Neck Resistance,,Strength,Neck,Other,Beginner,9.3,Average
1763,Lying Face Up Plate Neck Resistance,,Strength,Neck,Other,Beginner,8.4,Average
1765,Cable straight-bar upright row,"The cable straight-bar upright row is an isolation exercise for the traps and the medial deltoids. It may not be appropriate for all lifters depending on their shoulder health and injury history. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or shoulder-focused workout.",Strength,Traps,Cable,Intermediate,8.1,Average
1766,Cable shrug,"The cable shrug is an exercise targeting the traps, as well as hitting the shoulders and upper back. Cables allow for lighter loading which is beneficial for higher-rep sets.",Strength,Traps,Cable,Intermediate,7.9,Average
1767,Smith machine shrug,"The Smith machine shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Strength,Traps,Machine,Intermediate,9.2,Average
1770,Smith machine behind-the-back shrug,"The Smith machine behind-the-back shrug is an upper-body exercise targeting the traps (trapezius muscles). It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of shoulder or trap-focused training.",Strength,Traps,Machine,Intermediate,7.8,Average
1775,Isometric Neck Exercise - Sides,,Strength,Neck,Body Only,Beginner,7.4,Average
1776,Isometric Neck Exercise - Front And Back,,Strength,Neck,Body Only,Beginner,6.4,Average
1778,Side Neck Stretch,,Stretching,Neck,Body Only,Intermediate,4.8,Average
1779,Neck-SMR,,Stretching,Neck,Body Only,Intermediate,2.8,Average
1780,Scapular Pull-Up,,Strength,Traps,None,Beginner,6.6,Average
1782,Squats - With Bands,,Strength,Quadriceps,Bands,Beginner,5.8,Average
1799,Barbell Full Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,9.4,Average
1800,Barbell back squat to box,"The barbell back squat to box is a popular version of a classic lower-body exercise that utilizes a box at the bottom position of the movement. This allows the lifter to customize the depth of the squat, as well as limit the stretch reflex at the bottom of the squat. The movement targets the quadriceps, glutes, and hamstrings. The squat to box can be performed for low reps to build strength or power, or for higher reps to build muscle.",Powerlifting,Quadriceps,Barbell,Intermediate,9.3,Average
1806,Narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Quadriceps,Barbell,Expert,9,Average
1811,Barbell front squat,"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Quadriceps,Barbell,Intermediate,8.9,Average
1812,Barbell forward lunge,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Quadriceps,Barbell,Expert,8.8,Average
1814,Barbell step-up,"The barbell step-up is a great exercise for building lower-body strength and power. It targets all the same muscles as bodyweight step-ups, such as the quads, glutes, and hamstrings, but allows for greater muscular overload.",Strength,Quadriceps,Barbell,Intermediate,8.7,Average
1815,Barbell Bulgarian split squat,"The barbell Bulgarian split squat is a single-leg exercise targeting the quads, glutes, and hamstrings. It is easier to overload with the barbell than when using dumbbells. If balance is an issue, consider using a Smith machine or holding dumbbells at your side instead.",Strength,Quadriceps,Barbell,Intermediate,8.5,Average
1817,Barbell hack squat,"The barbell hack squat is a variety of deadlift performed with the barbell behind the legs. This forces the lifter into a body position similar to a squat and targets the quads and glutes. It is named after famed strongman George Hackenschmidt, who performed it as an overall leg-building exercise. The barbell hack squat can be used as a substitute for the machine hack squat, or as a lower-body strength and size movement on its own.",Strength,Quadriceps,Barbell,Expert,8.5,Average
1818,Hack Squat,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Barbell,Intermediate,8.4,Average
1822,Barbell back squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,8.2,Average
